transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00471,2026-01-15T14:41:21Z,241.1,pharmacy,SG,True,False
txn_0000001,card_00720,2026-01-16T20:44:14Z,31.91,online_retail,GB,True,False
txn_0000002,card_00371,2026-01-09T11:44:34Z,26.94,entertainment,SG,True,False
txn_0000003,card_00042,2026-01-01T12:43:12Z,74.84,restaurant,DE,False,False
txn_0000004,card_00402,2026-01-30T14:28:51Z,26.88,restaurant,GB,True,False
txn_0000005,card_00419,2026-01-27T16:36:33Z,37.63,grocery,GB,False,False
txn_0000006,card_00569,2026-01-27T10:13:05Z,55.44,grocery,GB,True,False
txn_0000007,card_00111,2026-01-14T11:31:34Z,14.06,online_retail,DE,False,False
txn_0000008,card_00673,2026-01-29T12:32:51Z,134.14,electronics,DE,True,False
txn_0000009,card_00529,2026-01-08T00:22:40Z,1127.72,electronics,DE,True,True
txn_0000010,card_00185,2026-01-28T10:37:05Z,5.0,fuel,IN,True,False
txn_0000011,card_00650,2026-01-21T14:47:46Z,45.2,online_retail,US,True,False
txn_0000012,card_00780,2026-01-27T02:04:43Z,30.02,restaurant,GB,False,False
txn_0000013,card_00508,2026-01-26T02:10:46Z,24.04,utilities,GB,True,False
txn_0000014,card_00078,2026-01-05T11:22:27Z,88.72,fuel,DE,False,False
txn_0000015,card_00398,2026-01-15T01:48:49Z,106.81,fuel,GB,True,False
txn_0000016,card_00543,2026-01-22T13:59:12Z,109.05,grocery,GB,True,False
txn_0000017,card_00279,2026-01-15T15:16:59Z,58.52,travel,US,False,False
txn_0000018,card_00224,2026-01-19T06:31:31Z,161.19,grocery,SG,False,False
txn_0000019,card_00085,2026-01-12T19:19:38Z,5.82,restaurant,DE,False,False
txn_0000020,card_00185,2026-01-03T10:05:30Z,146.61,atm_withdrawal,US,True,False
txn_0000021,card_00285,2026-01-19T00:44:15Z,6.15,fuel,IN,False,False
txn_0000022,card_00179,2026-01-06T04:44:16Z,21.06,utilities,SG,False,False
txn_0000023,card_00070,2026-01-09T22:03:41Z,33.91,restaurant,IN,True,False
txn_0000024,card_00477,2026-01-11T21:44:47Z,687.78,restaurant,AE,True,False
txn_0000025,card_00276,2026-01-14T23:43:59Z,29.5,pharmacy,DE,False,False
txn_0000026,card_00707,2026-01-13T03:31:43Z,264.61,grocery,GB,False,False
