transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00616,2026-01-06T18:14:02Z,418.55,atm_withdrawal,DE,True,False
txn_0000001,card_00565,2026-01-06T12:54:57Z,299.43,fuel,AE,False,False
txn_0000002,card_00540,2026-01-23T19:04:16Z,48.71,grocery,AE,True,False
txn_0000003,card_00119,2026-01-29T09:57:54Z,12.75,grocery,AE,True,False
txn_0000004,card_00606,2026-01-13T15:46:13Z,171.88,fuel,AE,True,False
txn_0000005,card_00051,2026-01-25T09:41:22Z,28.67,utilities,IN,True,False
txn_0000006,card_00049,2026-01-11T09:29:47Z,87.22,utilities,GB,False,False
txn_0000007,card_00246,2026-01-14T15:18:32Z,115.11,fuel,SG,False,False
txn_0000008,card_00086,2026-01-01T03:38:02Z,282.92,entertainment,DE,True,False
txn_0000009,card_00138,2026-01-01T02:14:44Z,100.8,restaurant,DE,True,False
txn_0000010,card_00622,2026-01-16T13:42:09Z,96.84,utilities,DE,True,False
txn_0000011,card_00272,2026-01-05T00:32:35Z,125.21,electronics,SG,True,False
txn_0000012,card_00885,2026-01-02T13:01:24Z,157.24,electronics,US,False,False
txn_0000013,card_00796,2026-01-14T09:29:50Z,55.77,fuel,DE,True,False
txn_0000014,card_00517,2026-01-09T22:56:25Z,14.82,online_retail,IN,True,False
txn_0000015,card_00868,2026-01-24T15:48:10Z,10.66,entertainment,DE,False,False
txn_0000016,card_00429,2026-01-24T09:05:19Z,47.35,electronics,SG,False,False
txn_0000017,card_00398,2026-01-12T13:34:14Z,126.15,online_retail,DE,True,False
txn_0000018,card_00370,2026-01-14T16:31:21Z,34.97,online_retail,DE,False,False
txn_0000019,card_00378,2026-01-19T15:52:46Z,117.2,utilities,US,True,False
txn_0000020,card_00756,2026-01-10T03:03:23Z,37.87,atm_withdrawal,AE,True,False
txn_0000021,card_00354,2026-01-06T19:02:29Z,14.55,travel,GB,True,False
txn_0000022,card_00143,2026-01-14T22:52:49Z,24.12,pharmacy,GB,True,False
txn_0000023,card_00710,2026-01-14T03:35:23Z,12.23,electronics,DE,True,False
txn_0000024,card_00522,2026-01-18T21:38:27Z,23.75,utilities,US,True,False
txn_0000025,card_00048,2026-01-18T08:05:32Z,193.15,entertainment,AE,True,False
txn_0000026,card_00271,2026-01-19T09:49:33Z,14.67,pharmacy,US,True,False
txn_0000027,card_00219,2026-01-28T19:18:36Z,645.68,travel,IN,True,False
txn_0000028,card_00794,2026-01-10T01:43:06Z,161.78,restaurant,IN,True,True
txn_0000029,card_00713,2026-01-15T05:01:20Z,490.23,travel,GB,False,False
txn_0000030,card_00229,2026-01-27T09:19:01Z,411.12,travel,IN,True,False
txn_0000031,card_00433,2026-01-09T05:19:55Z,75.74,utilities,DE,False,False
txn_0000032,card_00856,2026-01-15T11:00:55Z,54.99,online_retail,IN,True,False
txn_0000033,card_00036,2026-01-22T17:28:24Z,48.11,travel,DE,False,False
txn_0000034,card_00281,2026-01-19T04:05:14Z,27.38,grocery,SG,False,False
txn_0000035,card_00638,2026-01-12T14:29:38Z,11.15,fuel,US,True,False
txn_0000036,card_00860,2026-01-14T19:12:23Z,82.11,restaurant,DE,False,False
txn_0000037,card_00018,2026-01-16T08:50:28Z,21.19,online_retail,DE,True,False
txn_0000038,card_00787,2026-01-27T20:53:58Z,352.15,electronics,DE,False,True
txn_0000039,card_00143,2026-01-27T05:15:54Z,72.1,atm_withdrawal,DE,False,False
txn_0000040,card_00224,2026-01-19T10:33:27Z,100.08,utilities,US,True,False
txn_0000041,card_00084,2026-01-23T12:57:25Z,40.22,fuel,DE,False,False
txn_0000042,card_00756,2026-01-28T08:49:59Z,19.58,fuel,DE,False,False
txn_0000043,card_00595,2026-01-30T04:41:49Z,135.18,utilities,IN,True,False
txn_0000044,card_00666,2026-01-29T10:41:38Z,57.71,entertainment,IN,True,False
txn_0000045,card_00367,2026-01-19T16:01:25Z,80.95,atm_withdrawal,US,True,False
txn_0000046,card_00042,2026-01-07T22:56:31Z,167.94,travel,SG,False,False
txn_0000047,card_00786,2026-01-15T10:41:16Z,19.32,grocery,GB,True,False
txn_0000048,card_00281,2026-01-29T03:06:33Z,351.52,grocery,DE,True,False
txn_0000049,card_00683,2026-01-06T22:10:53Z,26.15,travel,GB,True,False
txn_0000050,card_00300,2026-01-20T20:12:50Z,57.66,grocery,GB,True,False
txn_0000051,card_00197,2026-01-24T14:21:10Z,162.2,online_retail,IN,False,False
txn_0000052,card_00768,2026-01-26T23:39:49Z,125.88,travel,AE,False,False
txn_0000053,card_00323,2026-01-23T00:43:51Z,45.97,utilities,US,False,False
txn_0000054,card_00128,2026-01-12T06:23:48Z,99.05,utilities,US,False,False
txn_0000055,card_00742,2026-01-25T16:30:24Z,116.86,grocery,IN,False,False
txn_0000056,card_00222,2026-01-15T23:28:14Z,41.26,electronics,US,True,False
txn_0000057,card_00377,2026-01-12T09:01:44Z,83.68,utilities,AE,True,False
txn_0000058,card_00210,2026-01-21T03:14:31Z,27.34,atm_withdrawal,IN,True,False
txn_0000059,card_00500,2026-01-09T13:41:35Z,331.77,grocery,AE,True,False
txn_0000060,card_00374,2026-01-12T20:59:52Z,202.27,electronics,AE,True,False
txn_0000061,card_00322,2026-01-22T07:33:56Z,434.4,restaurant,GB,True,False
txn_0000062,card_00547,2026-01-20T04:41:00Z,9.16,entertainment,DE,True,False
txn_0000063,card_00540,2026-01-27T02:04:16Z,22.61,grocery,SG,True,False
txn_0000064,card_00106,2026-01-18T08:53:20Z,41.65,fuel,IN,False,False
txn_0000065,card_00136,2026-01-20T12:17:34Z,133.61,pharmacy,DE,False,False
txn_0000066,card_00106,2026-01-27T15:46:30Z,206.96,online_retail,US,True,False
txn_0000067,card_00752,2026-01-06T13:31:13Z,28.44,restaurant,SG,True,False
txn_0000068,card_00124,2026-01-24T10:17:34Z,10.12,atm_withdrawal,GB,True,False
txn_0000069,card_00416,2026-01-06T06:45:32Z,80.98,entertainment,AE,False,False
txn_0000070,card_00728,2026-01-25T04:04:38Z,34.09,pharmacy,GB,False,False
txn_0000071,card_00506,2026-01-07T08:41:58Z,27.57,electronics,IN,True,False
txn_0000072,card_00709,2026-01-30T23:35:52Z,18.86,entertainment,DE,False,False
txn_0000073,card_00287,2026-01-29T01:59:29Z,129.28,fuel,DE,False,False
txn_0000074,card_00081,2026-01-24T23:23:19Z,27.64,utilities,IN,False,False
txn_0000075,card_00863,2026-01-14T08:37:30Z,114.88,fuel,US,True,False
txn_0000076,card_00339,2026-01-27T22:17:02Z,187.79,pharmacy,SG,False,False
txn_0000077,card_00655,2026-01-30T04:58:34Z,144.01,entertainment,SG,True,False
txn_0000078,card_00178,2026-01-03T06:31:12Z,55.65,travel,DE,False,False
txn_0000079,card_00007,2026-01-03T18:17:16Z,17.51,fuel,SG,True,False
txn_0000080,card_00012,2026-01-10T06:18:25Z,50.01,electronics,DE,True,False
txn_0000081,card_00818,2026-01-11T19:42:15Z,14.54,fuel,SG,True,False
txn_0000082,card_00118,2026-01-12T12:59:19Z,7.54,grocery,DE,True,False
txn_0000083,card_00555,2026-01-09T03:27:26Z,24.83,fuel,US,True,False
txn_0000084,card_00311,2026-01-16T17:12:31Z,47.23,electronics,AE,True,False
